inv_date,inv_id,cus_id,product_id,sell_price,cost_price,quantity,total_price,total_cost,profit
2024-12-03,inv0001,cus00812,pro0011,1656.07,1469,5,8280.35,7345,935.3500000000004
2024-12-03,inv0001,cus00812,pro0024,398.91,354,3,1196.73,1062,134.73000000000002
2024-12-03,inv0001,cus00812,pro0013,1785.78,1575,5,8928.9,7875,1053.8999999999996
2023-02-07,inv0002,cus00961,pro0047,2080.09,1702,5,10400.45,8510,1890.4500000000007
2023-02-07,inv0002,cus00961,pro0044,611.15,490,1,611.15,490,121.14999999999998
2023-02-07,inv0002,cus00961,pro0015,1723.69,1246,2,3447.38,2492,955.3800000000001
2023-02-07,inv0002,cus00961,pro0041,2823.78,2379,5,14118.900000000001,11895,2223.9000000000015
2023-01-31,inv0003,cus00760,pro0018,668.79,538,2,1337.58,1076,261.5799999999999
2023-01-31,inv0003,cus00760,pro0005,1737.61,1369,4,6950.44,5476,1474.4399999999996
2024-05-21,inv0004,cus00538,pro0013,1785.78,1575,4,7143.12,6300,843.1199999999999
2024-05-21,inv0004,cus00538,pro0037,1598.22,1427,2,3196.44,2854,342.44000000000005
2024-11-20,inv0005,cus00332,pro0050,1322.69,1014,4,5290.76,4056,1234.7600000000002
2024-11-20,inv0005,cus00332,pro0001,448.85,355,4,1795.4,1420,375.4000000000001
2024-11-20,inv0005,cus00332,pro0030,1030.23,922,1,1030.23,922,108.23000000000002
2024-11-20,inv0005,cus00332,pro0040,1379.33,1135,5,6896.65,5675,1221.6499999999996
2024-11-20,inv0005,cus00332,pro0027,1025.26,877,5,5126.3,4385,741.3000000000002
2023-04-09,inv0006,cus00400,pro0039,1139.92,946,1,1139.92,946,193.92000000000007
2023-04-09,inv0006,cus00400,pro0045,261.7,218,5,1308.5,1090,218.5
2023-04-09,inv0006,cus00400,pro0028,1628.92,1392,3,4886.76,4176,710.7600000000002
2023-04-09,inv0006,cus00400,pro0042,494.59,403,2,989.18,806,183.17999999999995
2023-04-09,inv0006,cus00400,pro0022,2551.95,2184,4,10207.8,8736,1471.7999999999993
2024-07-18,inv0007,cus00929,pro0054,1102.77,952,2,2205.54,1904,301.53999999999996
2024-07-18,inv0007,cus00929,pro0003,1311.44,1175,1,1311.44,1175,136.44000000000005
2024-07-18,inv0007,cus00929,pro0019,1174.0,951,1,1174.0,951,223.0
